Feature,MedianGap
LIMIT_BAL,80000
BILL_AMT1,11559
BILL_AMT2,10792.5
BILL_AMT3,9058
BILL_AMT6,7520
BILL_AMT5,5825.5
BILL_AMT4,5765.5
billStd,3697.35435764142
